,codigo,setor,precoAtual,liquidezDiaria,dividendo,dividendYield,dividendYieldAnual,variacaoPreco,pvp,vacanciaFisica,vacanciaFinanceira
279,SNID11,Renda,"R$ 101,10",1007.0,"R$ 0,04","0,04%","0,04%","0,00%",N/A,N/A,N/A
280,SNLG11,Logística,"R$ 36,51",1266.0,"R$ 0,35","0,91%","0,91%","0,00%","0,59","0,00%",N/A
281,SPTW11,Lajes Corporativas,"R$ 38,50",1671.0,"R$ 0,42","1,08%","2,11%","-3,61%","0,69","0,00%",N/A
282,SPVJ11,Outros,N/A,N/A,"R$ 0,67","0,00%",N/A,"0,00%",N/A,N/A,N/A
283,SRVD11,Títulos e Val. Mob.,"R$ 6,50",10.0,"R$ 0,10","1,01%","1,01%","0,00%","8,79",N/A,N/A
284,STRX11,Híbrido,"R$ 22,96",3180000.0,"R$ 0,78","0,00%",N/A,"0,00%","0,15",N/A,N/A
285,TEPP11,Lajes Corporativas,"R$ 65,79",2677.0,"R$ 0,50","0,75%","1,46%","-2,88%","0,69","9,06%","18,03%"
286,TGAR11,Outros,"R$ 114,30",74895.0,"R$ 1,31","1,16%","2,25%","-4,87%","0,87",N/A,N/A
287,TORD11,Outros,"R$ 3,98",168962.0,"R$ 0,05","0,93%","0,93%","0,00%","0,29",N/A,N/A
288,TRNT11,Lajes Corporativas,"R$ 103,01",515.0,"R$ 0,47","0,44%","0,76%","-14,31%","0,52","49,90%",N/A
289,TRXF11,Outros,"R$ 101,99",18282.0,"R$ 0,85","0,82%","1,63%","-0,86%","0,99","0,00%",N/A
290,URPR11,Outros,"R$ 92,34",72218.0,"R$ 1,30","1,31%","2,55%","-1,90%","0,93",N/A,N/A
291,VCJR11,Títulos e Val. Mob.,"R$ 86,70",12967.0,"R$ 0,95","1,07%","2,27%","-2,08%","0,91",N/A,N/A
292,VCRA11,Títulos e Valores Mobiliários,"R$ 104,40",3337.0,"R$ 1,00","0,94%","2,31%","-2,62%","1,02",N/A,N/A
293,VCRI11,,"R$ 8,27",43809.0,"R$ 0,11","1,29%","2,53%","-3,39%","0,87",N/A,N/A
294,VCRR11,Residencial,"R$ 69,81",4813.0,"R$ 0,67","0,96%","1,91%","-2,39%","0,54",N/A,N/A
295,VGHF11,Títulos e Val. Mob.,"R$ 9,02",218159.0,"R$ 0,10","1,11%","2,20%","-1,64%","0,99",N/A,N/A
296,VGIA11,Títulos e Val. Mob.,"R$ 9,76",389882.0,"R$ 0,14","1,43%","2,96%","0,41%","1,02",N/A,N/A
297,VGIP11,Outros,"R$ 79,88",31982.0,"R$ 0,87","1,06%","2,05%","1,36%","0,88",N/A,N/A
